name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
민준,2656,3130,3640,4067,3728,2798,4173,3857,2991,2275,2045,1677
지훈,2191,2007,2126,2080,2054,1745,1710,1568,1454,1137,959,867
현우,1947,1940,2096,2060,2088,1880,1804,1859,1499,1240,1079,911
준서,1905,1913,2088,2129,2361,2210,2034,2012,1583,1222,1120,999
우진,1827,1568,1530,1822,1621,1407,1379,1582,1447,1465,1447,1444
건우,1720,1805,1971,1767,2072,1598,1359,1493,1541,1313,1301,1417
예준,1713,1798,2115,2238,2387,2552,2719,2750,2571,2146,1897,1749
현준,1627,1707,2008,1809,1574,1440,1450,1312,1021,777,707,609
도현,1599,1453,1619,2025,1930,1705,1661,1938,1659,1453,1212,1140
준혁,1595,1361,1924,1491,1639,1273,1055,875,684,562,383,309
동현,1577,1393,1220,1181,995,818,515,485,372,279,224,170
민재,1484,1544,1559,1775,1830,1464,1374,1237,1087,1064,965,714
서준,1479,1480,1948,2142,3029,3297,4214,3562,2957,2483,3004,2633
승현,1430,1328,1337,1395,1448,1246,1121,1217,963,742,574,439
승민,1404,1423,1567,1398,1156,895,985,1161,796,548,484,368
민성,1379,1503,1438,1241,1105,943,969,1006,703,492,426,373
시우,1249,1542,1882,2152,2372,2077,1887,1942,2207,2394,2244,2158
준영,1236,1223,1219,1175,1298,1192,1044,891,775,603,407,252
서진,1177,913,860,955,1077,1188,1677,1872,1615,1442,1568,1278
정우,1169,1161,1171,1151,1312,1447,1556,1378,1158,975,860,781
지환,1155,1193,1206,1104,1327,1325,1091,1178,1156,822,762,619
지호,1152,1455,2083,1904,1786,1848,1916,2189,2200,1906,2039,1791
준우,1135,1233,1662,1710,1835,1944,2278,2249,1973,1704,1476,1379
성현,1123,938,933,842,739,615,531,550,398,334,296,220
민규,1109,1114,1059,916,901,777,629,531,570,534,416,258
지후,1092,2170,1931,2012,2016,2517,2415,2049,1793,1500,1367,1284
진우,1082,1028,969,929,1065,957,1002,1033,944,679,603,587
성민,1081,1116,987,831,786,550,644,550,386,318,262,213
지원,1079,956,1058,1128,1067,984,1026,871,891,595,584,433
은찬,1047,839,790,722,904,726,722,746,556,479,448,352
한결,1044,648,662,728,756,642,670,778,733,608,560,510
지민,1026,856,780,748,606,439,349,340,272,225,283,421
재원,1004,937,831,821,820,713,809,671,694,516,440,345
현서,1003,857,859,697,661,633,579,630,453,365,316,278
승우,994,984,1153,1245,1290,1262,1215,1227,1054,996,879,744
재민,992,938,886,841,933,706,730,681,560,449,426,318
민혁,933,774,733,631,761,660,558,531,443,369,299,236
