"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
Y110,기흥역,T4101,에버라인,GIHEUNG,器興,환승역,K237,기흥역,37.275657,127.115944,용인경량전철㈜,경기도 용인시 기흥구 중부대로 468,031-329-3541,2017-04-21
Y111,강남대역,T4101,에버라인,KANGNAM UNIV,江南大,일반역,,,37.270171,127.126023,용인경량전철㈜,경기도 용인시 기흥구 중부대로 578,031-329-3542,2017-04-21
Y112,지석역,T4101,에버라인,JISEOK,支石,일반역,,,37.269691,127.1366815,용인경량전철㈜,경기도 용인시 기흥구 어정로 28,031-329-3543,2017-04-21
Y113,어정역,T4101,에버라인,EOJEONG,御井,일반역,,,37.275311,127.143774,용인경량전철㈜,경기도 용인시 기흥구 어정로 128,031-329-3544,2017-04-21
Y114,동백역,T4101,에버라인,DONGBAEK,東栢,일반역,,,37.269111,127.152716,용인경량전철㈜,경기도 용인시 기흥구 동백죽전대로 314,031-329-3545,2017-04-21
Y115,초당역,T4101,에버라인,CHODANG,草堂,일반역,,,37.260823,127.159465,용인경량전철㈜,경기도 용인시 기흥구 동백죽전대로 204,031-329-3546,2017-04-21
Y116,삼가역,T4101,에버라인,SAMGA,三街,일반역,,,37.242103,127.168141,용인경량전철㈜,경기도 용인시 처인구 중부대로 1098,031-329-3547,2017-04-21
Y117,시청-용인대역,T4101,에버라인,CITY HALL-YONGIN UNIV,龍仁市廳·龍仁大,일반역,,,37.239426,127.178856,용인경량전철㈜,경기도 용인시 처인구 중부대로 1199-1,031-329-3573,2017-04-21
Y118,명지대역,T4101,에버라인,MYONGJI UNIV,明知大,일반역,,,37.2380254,127.1911514,용인경량전철㈜,경기도 용인시 처인구 금학로 241,031-329-3574,2017-04-21
Y119,김량장역,T4101,에버라인,GIMNYANGJANG,金良場,일반역,,,37.237293,127.198671,용인경량전철㈜,경기도 용인시 처인구 금학로 315,031-329-3575,2017-04-21
Y120,운동장-송담대역,T4101,에버라인,STADIUM-SONGDAM UNIV,運動場·松潭大,일반역,,,37.237891,127.209046,용인경량전철㈜,경기도 용인시 처인구 금학로 409,031-329-3576,2017-04-21
Y121,고진역,T4101,에버라인,GOJIN,古陳,일반역,,,37.244643,127.214168,용인경량전철㈜,경기도 용인시 처인구 경안천로 141,031-329-3577,2017-04-21
Y122,보평역,T4101,에버라인,BOPYEONG,洑坪,일반역,,,37.2589472,127.218533,용인경량전철㈜,경기도 용인시 처인구 경안천로 313,031-329-3578,2017-04-21
Y123,둔전역,T4101,에버라인,DUNJEON,屯田,일반역,,,37.267201,127.213619,용인경량전철㈜,경기도 용인시 처인구 포곡읍 포곡로 70,031-329-3579,2017-04-21
Y124,전대-에버랜드역,T4101,에버라인,JEONDAE-EVERLAND,前垈·에버랜드,일반역,,,37.285405,127.219491,용인경량전철㈜,경기도 용인시 처인구 포곡읍 에버랜드로 143,031-329-3580,2017-04-21
