"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
100,양촌역,L4101,김포골드라인,Yangchon,陽忖,일반역,,-,37.641937,126.614453,김포골드라인운영㈜,경기도 김포시 양촌읍 양촌역길 107,031-8048-1700,2020-09-11
101,구래역,L4101,김포골드라인,Gurae,九來,일반역,,-,37.645587,126.628249,김포골드라인운영㈜,경기도 김포시 김포한강7로87,031-8048-1710,2020-09-11
102,마산역,L4101,김포골드라인,Masan,麻山,일반역,,-,37.640591,126.643553,김포골드라인운영㈜,경기도 김포시 김포한강3로442,031-8048-1720,2020-09-11
103,장기역,L4101,김포골드라인,Janggi,場基,일반역,,-,37.644252,126.668978,김포골드라인운영㈜,경기도 김포시 김포한강1로59,031-8048-1730,2020-09-11
104,운양역,L4101,김포골드라인,Unnyang,雲陽,일반역,,-,37.653966,126.683848,김포골드라인운영㈜,경기도 김포시 김포한강1로235,031-8048-1740,2020-09-11
105,걸포북변역,L4101,김포골드라인,Geolpo-Bukbyeon,傑浦北邊,일반역,,-,37.631929,126.706277,김포골드라인운영㈜,경기도 김포시 김포대로1040,031-8048-1750,2020-09-11
106,사우(김포시청)역,L4101,김포골드라인,Sau (Gimpo City Hall),沙隅(金浦市廳),일반역,,-,37.620437,126.719797,김포골드라인운영㈜,경기도 김포시 김포대로852,031-8048-1760,2020-09-11
107,풍무역,L4101,김포골드라인,Pungmu,豊舞,일반역,,-,37.612401,126.732615,김포골드라인운영㈜,경기도 김포시 김포대로710,031-8048-1770,2020-09-11
108,고촌역,L4101,김포골드라인,Gochon,高忖,일반역,,-,37.601296,126.770344,김포골드라인운영㈜,경기도 김포시 고촌읍 김포대로350,031-8048-1780,2020-09-11
109,김포공항역,L4101,김포골드라인,Gimpo Airport,金浦空港,환승역,,"공항철도,서울교통공사5호선,서울교통공사9호선운영㈜",37.562518,126.801713,김포골드라인운영㈜,서울특별시 강서구 하늘길77,031-8048-1790,2020-09-11
