"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
U110,발곡,L4101,의정부경전철,Balgok,鉢谷,일반역,,,37.7269917,127.0529098,㈜우진메트로,경기도 의정부시 장곡로 258,031-820-1000,2020-11-30
U111,회룡,L4101,의정부경전철,Hoeryong,回龍,환승역,S1101+L4101,서울도시철도1호선+의정부경전철,37.7250156,127.0471082,㈜우진메트로,경기도 의정부시 평화로 363,031-820-1000,2020-11-30
U112,범골,L4101,의정부경전철,Beomgol,,일반역,,,37.728796,127.0436639,㈜우진메트로,경기도 의정부시 신흥로 141,031-820-1000,2020-11-30
U113,경전철의정부,L4101,의정부경전철,Lrt Uijeongbu,輕電鐵議政府,일반역,,,37.7373859,127.043314,㈜우진메트로,경기도 의정부시 신흥로 237,031-820-1000,2020-11-30
U114,의정부시청,L4101,의정부경전철,Uijeongbu City Hall,議政府市廳,일반역,,,37.7392416,127.0348664,㈜우진메트로,경기도 의정부시 의정부로 69,031-820-1000,2020-11-30
U115,흥선,L4101,의정부경전철,Heungseon,興宣,일반역,,,37.7432842,127.0371212,㈜우진메트로,경기도 의정부시 호국로 1197,031-820-1000,2020-11-30
U117,의정부중앙,L4101,의정부경전철,Uijeongbu Jung-ang,議政府中央,일반역,,,37.7436839,127.0496634,㈜우진메트로,경기도 의정부시 호국로 1305,031-820-1000,2020-11-30
U118,동오,L4101,의정부경전철,Dong-o,東梧,일반역,,,37.7452685,127.056979,㈜우진메트로,경기도 의정부시 장곡로 471,031-820-1000,2020-11-30
U119,새말,L4101,의정부경전철,Sae-mal,,일반역,,,37.7488688,127.0637846,㈜우진메트로,경기도 의정부시 장곡로 551,031-820-1000,2020-11-30
U120,경기도청북부청사,L4101,의정부경전철,Northern Gyeonggi-do Government,京畿道廳北部廳舍,일반역,,,37.7507731,127.0716075,㈜우진메트로,경기도 의정부시 장곡로 615,031-820-1000,2020-11-30
U121,효자,L4101,의정부경전철,Hyoja,孝子,일반역,,,37.7539992,127.0772808,㈜우진메트로,경기도 의정부시 부용로 159-40,031-820-1000,2020-11-30
U122,곤제,L4101,의정부경전철,Gonjae,昆弟,일반역,,,37.7505337,127.083846,㈜우진메트로,경기도 의정부시 천보로 173,031-820-1000,2020-11-30
U123,어룡,L4101,의정부경전철,Eoryong,魚龍,일반역,,,37.7426961,127.0852263,㈜우진메트로,경기도 의정부시 충의로 125,031-820-1000,2020-11-30
U124,송산,L4101,의정부경전철,Songsan,松山,일반역,,,37.737262,127.0872261,㈜우진메트로,경기도 의정부시 충의로 59,031-820-1000,2020-11-30
U125,탑석,L4101,의정부경전철,Tapseok,塔石,일반역,,,37.7334668,127.0889285,㈜우진메트로,경기도 의정부시 충의로 20,031-820-1000,2020-11-30
