"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
201,장산역,S2602,부산도시철도 2호선,Jangsan,山,일반역,,,35.169914,129.176986,부산교통공사,부산광역시 해운대구 해운대로 지하 820,051-678-6201,2020-06-05
2020,중동역,S2602,부산도시철도 2호선,Jung-dong,中洞,일반역,,,35.166700,129.168604,부산교통공사,부산광역시 해운대구 해운대로 지하 730,051-678-6202,2020-06-05
203,해운대역,S2602,부산도시철도 2호선,Haeundae,海雲臺,일반역,,,35.163672,129.158908,부산교통공사,부산광역시 해운대구 해운대로 지하 626,051-678-6203,2020-06-05
204,동백역,S2602,부산도시철도 2호선,Dongbaek,冬柏,일반역,,,35.161484,129.147897,부산교통공사,부산광역시 해운대구 해운대로 지하 522,051-678-6204,2020-06-05
205,시립미술관역,S2602,부산도시철도 2호선,Busan Museum of Art,市立美術館,일반역,,,35.168844,129.138933,부산교통공사,부산광역시 해운대구 해운대로 지하 396,051-678-6205,2020-06-05
206,센텀시티역,S2602,부산도시철도 2호선,Centum City,Centum City,일반역,,,35.168827,129.131745,부산교통공사,부산광역시 해운대구 센텀남대로 지하 76,051-678-6206,2020-06-05
207,민락역,S2602,부산도시철도 2호선,Millak,民樂,일반역,,,35.167228,129.121909,부산교통공사,부산광역시 수영구 수영로 지하 769,051-678-6207,2020-06-05
208,수영역,S2602,부산도시철도 2호선,Suyeong,水營,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.165227,129.114713,부산교통공사,부산광역시 수영구 수영로 지하 677,051-678-6208,2020-06-05
209,광안역,S2602,부산도시철도 2호선,Gwangan,廣安,일반역,,,35.157916,129.113168,부산교통공사,부산광역시 수영구 수영로 지하 576,051-678-6209,2020-06-05
210,금련산역,S2602,부산도시철도 2호선,Geumnyeonsan,金蓮山,일반역,,,35.149771,129.110961,부산교통공사,부산광역시 수영구 수영로 지하 482,051-678-6210,2020-06-05
211,남천역,S2602,부산도시철도 2호선,Namcheon,南川,일반역,,,35.142139,129.107978,부산교통공사,부산광역시 수영구 수영로 지하 410,051-678-6211,2020-06-05
212,경성대부경대역,S2602,부산도시철도 2호선,Kyungsung Univ. Pukyong Nat''''''''''''''''l Univ.,慶星大釜慶大,일반역,,,35.137585,129.100548,부산교통공사,부산광역시 남구 수영로 지하 324,051-678-6212,2020-06-05
213,대연역,S2602,부산도시철도 2호선,Daeyeon,大淵,일반역,,,35.135153,129.092161,부산교통공사,부산광역시 남구 수영로 지하 242,051-678-6213,2020-06-05
214,못골역,S2602,부산도시철도 2호선,Motgol,池谷,일반역,,,35.134731,129.084415,부산교통공사,부산광역시 남구 수영로 지하 170,051-678-6214,2020-06-05
215,지게골역,S2602,부산도시철도 2호선,Jigegol,支架谷,일반역,,,35.135574,129.074365,부산교통공사,부산광역시 남구 수영로 지하 70,051-678-6215,2020-06-05
216,문현역,S2602,부산도시철도 2호선,Munhyeon,門峴,일반역,,,35.139151,129.067399,부산교통공사,부산광역시 남구 전포대로 지하 17,051-678-6216,2020-06-05
217,국제금융센터부산은행역,S2602,부산도시철도 2호선,Busan Int''''''''''''''''l Finance Center Busan Bank,釜山國際金融中心·釜山銀行,일반역,,,35.145817,129.066755,부산교통공사,부산광역시 남구 전포대로 지하 97,051-678-6217,2020-06-05
218,전포역,S2602,부산도시철도 2호선,Jeonpo,田浦,일반역,,,35.153102,129.065374,부산교통공사,부산광역시 부산진구 전포대로 지하 181,051-678-6218,2020-06-05
219,서면역(2호선),S2602,부산도시철도 2호선,Seomyeon,西面,환승역,S2602+S2601,부산도시철도 2호선+부산도시철도 1호선,35.157740,129.059084,부산교통공사,부산광역시 부산진구 중앙대로 지하 730,051-678-6219,2020-06-05
220,부암역,S2602,부산도시철도 2호선,Buam,釜岩,일반역,,,35.157444,129.050185,부산교통공사,부산광역시 부산진구 가야대로 지하 719,051-678-6220,2020-06-05
221,가야역,S2602,부산도시철도 2호선,Gaya,伽倻,일반역,,,35.155883,129.042817,부산교통공사,부산광역시 부산진구 가야대로 지하 650,051-678-6221,2020-06-05
222,동의대역,S2602,부산도시철도 2호선,Dongeui Univ.,東義大,일반역,,,35.153986,129.032750,부산교통공사,부산광역시 부산진구 가야대로 지하 554,051-678-6222,2020-06-05
223,개금역,S2602,부산도시철도 2호선,Gaegeum,開琴,일반역,,,35.153284,129.020533,부산교통공사,부산광역시 부산진구 가야대로 지하 442,051-678-6223,2020-06-05
224,냉정역,S2602,부산도시철도 2호선,Naengjeong,冷井,일반역,,,35.151254,129.012255,부산교통공사,부산광역시 사상구 가야대로 지하 362-1,051-678-6224,2020-06-05
225,주례역,S2602,부산도시철도 2호선,Jurye,周禮,일반역,,,35.150508,129.003077,부산교통공사,부산광역시 사상구 가야대로 지하 292,051-678-6225,2020-06-05
226,감전역,S2602,부산도시철도 2호선,Gamjeon,甘田,일반역,,,35.155528,128.991146,부산교통공사,부산광역시 사상구 사상로 지하 93-1,051-678-6226,2020-06-05
227,사상역,S2602,부산도시철도 2호선,Sasang,沙上,환승역,S2602+L4801,부산도시철도 2호선+김해경전철,35.162361,128.984621,부산교통공사,부산광역시 사상구 사상로 지하 203,051-678-6227,2020-06-05
228,덕포역,S2602,부산도시철도 2호선,Deokpo,德浦,일반역,,,35.173754,128.983955,부산교통공사,부산광역시 사상구 사상로 지하 320-1,051-678-6228,2020-06-05
229,모덕역,S2602,부산도시철도 2호선,Modeok,毛德,일반역,,,35.180366,128.985621,부산교통공사,부산광역시 사상구 사상로 지하 409,051-678-6229,2020-06-05
230,모라역,S2602,부산도시철도 2호선,Mora,毛羅,일반역,,,35.189663,128.988655,부산교통공사,부산광역시 사상구 사상로 지하 498,051-678-6230,2020-06-05
231,구남역,S2602,부산도시철도 2호선,Gunam,龜南,일반역,,,35.196804,128.994928,부산교통공사,부산광역시 북구 백양대로 지하 1026,051-678-6231,2020-06-05
232,구명역,S2602,부산도시철도 2호선,Gumyeong,龜明,일반역,,,35.202520,128.999322,부산교통공사,부산광역시 북구 백양대로 지하 1094,051-678-6232,2020-06-05
