"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
100,녹동역,S2901,광주도시철도 1호선,Nokdong,鹿洞,일반역,,,35.107028,126.933932,광주광역시 도시철도공사,광주광역시 동구 녹동길 45(용산동),062-604-8410,2020-07-16
101,소태역,S2901,광주도시철도 1호선,Sotae,所台,일반역,,,35.124108,126.932013,광주광역시 도시철도공사,광주광역시 동구 남문로 지하 587(소태동),062-604-8410,2020-07-16
102,학동증심사입구역,S2901,광주도시철도 1호선,Hakdong Jeungsimsa,鶴洞ㆍ證心寺入口,일반역,,,35.133023,126.928382,광주광역시 도시철도공사,광주광역시 동구 남문로 지하 700(학동),062-604-8420,2020-07-16
103,남광주역,S2901,광주도시철도 1호선,Namgwangju,南光州,일반역,,,35.1478534,126.921807,광주광역시 도시철도공사,광주광역시 동구 제봉로 지하 14(학동),062-604-8430,2020-07-16
104,문화전당역(구도청),S2901,광주도시철도 1호선,Culture Center(Formerly Provincial office),文化殿堂,일반역,,,35.144698,126.9196731,광주광역시 도시철도공사,광주광역시 동구 문화전당로 26번길 지하 7(광산동),062-604-8440,2020-07-16
105,금남로4가역,S2901,광주도시철도 1호선,Geumnamno4(sa)-ga,錦南路4街,일반역,,,35.150976,126.914446,광주광역시 도시철도공사,광주광역시 동구 금남로 지하 210(금남로4가),062-604-8450,2020-07-16
106,금남로5가역,S2901,광주도시철도 1호선,Geumnamno 5(o)-ga,錦南路5街,일반역,,,35.1537137,126.910933,광주광역시 도시철도공사,광주광역시 북구 금남로 지하 138(북동),062-604-8460,2020-07-16
107,양동시장역,S2901,광주도시철도 1호선,Yangdong Market,良洞市場,일반역,,,35.154176,126.904489,광주광역시 도시철도공사,광주광역시 서구 경열로 지하 152(양동),062-604-8470,2020-07-16
108,돌고개역,S2901,광주도시철도 1호선,Dolgogae,해당사항 없음,일반역,,,35.152047,126.895637,광주광역시 도시철도공사,광주광역시 서구 경열로 지하 87(농성동),062-604-8480,2020-07-16
109,농성역,S2901,광주도시철도 1호선,Nongseong,農城,일반역,,,35.153563,126.883973,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 1123(농성동),062-604-8490,2020-07-16
110,화정역,S2901,광주도시철도 1호선,Hwajeong,花亭,일반역,,,35.150381,126.877698,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 1041(화정동),062-604-8500,2020-07-16
111,쌍촌역,S2901,광주도시철도 1호선,Ssangchon,雙村,일반역,,,35.151793,126.869519,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 983(쌍촌동),062-604-8510,2020-07-16
112,운천역,S2901,광주도시철도 1호선,Uncheon,云泉,일반역,,,35.150486,126.858694,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 883(쌍촌동),062-604-8520,2020-07-16
113,상무역,S2901,광주도시철도 1호선,Sangmu,尙武,일반역,,,35.146784,126.848641,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 777(마륵동),062-604-8530,2020-07-16
114,김대중컨벤션센터(마륵)역,S2901,광주도시철도 1호선,KimDaejungConvention Center (Mareuk),馬勒,일반역,,,35.143214,126.841442,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 705(마륵동),062-604-8540,2020-07-16
115,공항역,S2901,광주도시철도 1호선,Airport,空港,일반역,,,35.144179,126.8112104,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 416-99(신촌동),062-604-8550,2020-07-16
116,송정공원역,S2901,광주도시철도 1호선,Songjeong Park,松汀公園,일반역,,,35.143565,126.799245,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 314-99(송정동),062-604-8560,2020-07-16
117,광주송정역,S2901,광주도시철도 1호선,Gwangju Songjeong Station,光州松汀站,일반역,,,35.137529,126.791488,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 201-99(송정동),062-604-8570,2020-07-16
118,도산역,S2901,광주도시철도 1호선,Dosan,道山,일반역,,,35.131713,126.787942,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 125-99(도산동),062-604-8580,2020-07-16
119,평동역,S2901,광주도시철도 1호선,Pyeongdong,平洞,일반역,,,35.1245829,126.769586,광주광역시 도시철도공사,광주광역시 광산구 평동로 870(월전동),062-604-8590,2020-07-16
