"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
102,괘법르네시떼역,L4801,부산-김해경전철,Gwaebeop Renecite,掛法,일반역,,,35.16331100,128.9777370,부산-김해경전철㈜,부산광역시 사상구 광장로 9번,055-310-9602,2020-10-31
103,서부산유통지구역,L4801,부산-김해경전철,Seobusan Yutongjigu,西釜山 流通地區,일반역,,,35.16643500,128.9548070,부산-김해경전철㈜,부산광역시 강서구 유통단지 1로 57번길 7번,055-310-9603,2020-10-31
104,공항역,L4801,부산-김해경전철,Gimhae International Airport,控抗,일반역,,,35.17192900,128.9485740,부산-김해경전철㈜,부산광역시 강서구 공항진입로 165,055-310-9604,2020-10-31
105,덕두역,L4801,부산-김해경전철,Deokdu,德斗,일반역,,,35.18200600,128.9542170,부산-김해경전철㈜,부산광역시 강서구 경전철로 10,055-310-9605,2020-10-31
106,등구역,L4801,부산-김해경전철,Deunggu,登龜,일반역,,,35.19619400,128.9635510,부산-김해경전철㈜,부산광역시 강서구 낙동북로 294,055-310-9606,2020-10-31
107,대저역,L4801,부산-김해경전철,Daejeo,大猪,환승역,L4801+S2603,부산-김해경전철+부산도시철도 3호선,35.21305600,128.9606470,부산-김해경전철㈜,부산광역시 강서구 낙동북로 294,055-310-9607,2020-10-31
108,평강역,L4801,부산-김해경전철,Pyeonggang,平江,일반역,,,35.21404800,128.9507560,부산-김해경전철㈜,부산광역시 강서구 낙동북로203,055-310-9608,2020-10-31
109,대사역,L4801,부산-김해경전철,Daesa,大沙,일반역,,,35.21768600,128.9384230,부산-김해경전철㈜,부산광역시 강서구 낙동북로 82,055-310-9609,2020-10-31
110,불암역,L4801,부산-김해경전철,Buram,佛岩,일반역,,,35.22219200,128.9278750,부산-김해경전철㈜,경상남도 김해시 김해대로 2787,055-310-9610,2020-10-31
111,지내역,L4801,부산-김해경전철,Jinae,池內,일반역,,,35.22749200,128.9237820,부산-김해경전철㈜,경상남도 김해시 김해대로 2718,055-310-9611,2020-10-31
112,김해대학역,L4801,부산-김해경전철,Gimhae College,金海大學,일반역,,,35.22901500,128.9155610,부산-김해경전철㈜,경상남도 김해시 김해대로 2641,055-310-9612,2020-10-31
113,인제대역,L4801,부산-김해경전철,Inje Univ.,仁濟大,일반역,,,35.22810117,128.9017610,부산-김해경전철㈜,경상남도 김해시 김해대로 2515,055-310-9613,2020-10-31
114,김해시청역,L4801,부산-김해경전철,Gimhae City Hall,金海市廳,일반역,,,35.22707700,128.8904250,부산-김해경전철㈜,경상남도 김해시 김해대로 2408,055-310-9614,2020-10-31
115,부원역,L4801,부산-김해경전철,Buwon,府院,일반역,,,35.22648900,128.8839018,부산-김해경전철㈜,경상남도 김해시 김해대로 2350,055-310-9615,2020-10-31
116,봉황역,L4801,부산-김해경전철,Bonghwang,鳳凰,일반역,,,35.22726600,128.8743810,부산-김해경전철㈜,경상남도 김해시 김해대로 2249,055-310-9616,2020-10-31
117,수로왕릉역,L4801,부산-김해경전철,Royal Tomb of King Suro,首露王陵,일반역,,,35.23282400,128.8722070,부산-김해경전철㈜,경상남도 김해시 김해대로 2181,055-310-9617,2020-10-31
118,박물관역,L4801,부산-김해경전철,museum,博物館,일반역,,,35.24007200,128.8719050,부산-김해경전철㈜,경상남도 김해시 김해대로 2103,055-310-9618,2020-10-31
119,연지공원역,L4801,부산-김해경전철,Yeonji Park,蓮池公園,일반역,,,35.24965843,128.8692870,부산-김해경전철㈜,경상남도 김해시 해반천로 5,055-310-9619,2020-10-31
120,장신대역,L4801,부산-김해경전철,presbyterian Univ.,長神大,일반역,,,35.25954400,128.8672020,부산-김해경전철㈜,경상남도 김해시 해반천로 129,055-310-9620,2020-10-31
121,가야대역,L4801,부산-김해경전철,Kaya Univ.,加耶大,일반역,,,35.26678500,128.8650682,부산-김해경전철㈜,경상남도 김해시 해반천로 211,055-310-9621,2020-10-31
122,사상역,L4801,부산-김해경전철,Sasang,沙上,환승역,L4801+S2602,부산-김해경전철+부산도시철도 2호선,35.16230500,128.9857840,부산-김해경전철㈜,부산광역시 사상구 광장로 83,055-310-9601,2020-10-31
