"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
3110,계양,S2801,인천지하철 1호선,Gyeyang,桂陽,환승역,I2801+S2801,공항철도,37.571539,126.736319,인천교통공사,인천광역시 계양구 다남로 24,032-710-9105,2020-04-13
3111,귤현,S2801,인천지하철 1호선,Gyulhyeon,橘峴,일반역,-,-,37.566362,126.742498,인천교통공사,인천광역시 계양구 장제로 1136,032-515-9104,2020-04-13
3112,박촌,S2801,인천지하철 1호선,Bakchon,朴村,일반역,-,-,37.553525,126.744946,인천교통공사,인천광역시 계양구 장제로 992,032-519-3122,2020-04-13
3113,임학,S2801,인천지하철 1호선,Imhak,林鶴,일반역,-,-,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,032-541-3113,2020-04-13
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2020-04-13
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''l Univ\ of Education,京仁敎大入口,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2020-04-13
3116,작전,S2801,인천지하철 1호선,Jakjeon,鵲田,일반역,-,-,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,032-543-3116,2020-04-13
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2020-04-13
3118,부평구청,S2801,인천지하철 1호선,Bupyeong-gu Office,富平區廳,환승역,I2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,032-513-9103,2020-04-13
3119,부평시장,S2801,인천지하철 1호선,Bupyeong Market,富平市場,일반역,-,-,37.498495,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,032-512-3119,2020-04-13
3120,부평,S2801,인천지하철 1호선,Bupyeong,富平,환승역,I2801+I1101,1호선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,032-515-9103,2020-04-13
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2020-04-13
3122,부평삼거리,S2801,인천지하철 1호선,Bupyeongsamgeori,富平三거리,일반역,-,-,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,032-516-3122,2020-04-13
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2020-04-13
3124,인천시청,S2801,인천지하철 1호선,Incheon City Hall,仁川市廳,일반역,-,-,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,032-441-3124,2020-04-13
3125,예술회관,S2801,인천지하철 1호선,Arts Center,藝術會館,일반역,-,-,37.449334,126.700991,인천교통공사,인천광역시 남동구 예술로 172,032-441-3125,2020-04-13
3126,인천터미널,S2801,인천지하철 1호선,Incheon Bus Terminal,仁川터미널,일반역,-,-,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,032-441-3126,2020-04-13
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2020-04-13
