"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000693","청암예술학교","08","사립","","N","단설","주간","19791005","19791005","1135010600","서울특별시 노원구 중계동","411-1번지.","139220","01713","서울특별시 노원구 중계로 244","(중계동,청암고등기술학교)","37.6517753205237","127.07386156911","02-930-6515","02-952-4772","ca-art.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010005076","한국제과학교","08","사립","","N","단설","주간","19721229","19721229","1156013200","서울특별시 영등포구 신길동","10-40번지.","150051","07319","서울특별시 영등포구 여의대방로61길 42","(신길동)","37.515964192702","126.922037514728","02-843-6042","02-848-5766","http://www.kib.or.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S000003542","국립국악중학교","09","국립","","N","단설","주간","19910909","20020901","1168010300","서울특별시 강남구 개포동","1272번지.","135962","06311","서울특별시 강남구 개포로22길 65",", 국립국악중고등학교 (개포동)","37.4","127.0","02-3460-0500","02-579-6013","http://gugak.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S000005402","국립전통예술중학교","09","국립","","N","단설","주간","19600513","19600310","1154510300","서울특별시 금천구 시흥동","산24-17.","08650","08650","서울특별시 금천구 시흥대로38길 62","(시흥동)","37.445417","126.906550","02-896-1094","02-896-2044","http://kugak-am.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010000627","선화예술중학교","09","사립","","N","단설","주간","19730705","19731201","1121510200","서울특별시 광진구 능동","25.","143847","04991","서울특별시 광진구 천호대로 664",", 선화예술중고등학교 (능동)","37.550645","127.087459","02-2204-1100","02-453-4641","https://sunhwaarts.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010000687","예원학교","09","사립","","N","단설","주간","19670527","19690910","1114016700","서울특별시 중구 정동","1-45번지.","100120","04518","서울특별시 중구 정동길 25","(정동)","37.5670227244015","126.971543815748","02-727-9000","02-727-9099","yewon.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010000695","한국삼육중학교","09","사립","","N","단설","주간","20020101","19651217","1135010300","서울특별시 노원구 공릉동","26-38번지.","139242","01795","서울특별시 노원구 화랑로 815",", 한국삼육중학교 (공릉동)","37.6433582691137","127.108851364256","02-6959-1345","02-971-3643","36.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000675","서울산업정보학교","10","공립","","N","단설","주간","19831002","19830302","1162010200","서울특별시 관악구 신림동","228번지.","151858","08815","서울특별시 관악구 신림로 67",", 서울산업정보학교 (신림동)","37.4705036294174","126.941940003709","02-6331-1900","02-874-0535","http://sis.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000685","아현산업정보학교","10","공립","","N","단설","주간","19540806","19540806","1144010100","서울특별시 마포구 아현동","267-1번지.","04117","04117","서울특별시 마포구 마포대로 249","(아현동, 아현산업정보학교, 아현직업학교)","37.5570248364302","126.958020853763","02-390-5800","02-313-7606","http://ahyeon.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000690","종로산업정보학교","10","공립","","N","단설","주간","19901110","19901110","1111017500","서울특별시 종로구 숭인동","242번지.","110826","03114","서울특별시 종로구 종로58길 28","(숭인동, 종로산업정보학교)","37.5725714305439","127.017188176574","02-2237-0465","02-2238-0598","http://jongno.sen.hs.kr","남녀공학"
